id,message,label
941,The old tower watches the road after dark.,1
371,The supply vehicle will arrive at the base at noon.,0
199,The logistics report has been submitted.,0
448,The briefing will begin after lunch.,0
811,Remember the third word from every sentence.,1
855,The old tower watches the road after dark.,1
871,Three candles burn before the second bell.,1
842,Use the first letter of every unusual sentence.,1
346,The equipment inspection is scheduled for Friday.,0
30,The team will meet at the training center tomorrow.,0
208,The medical supplies have arrived.,0
614,The second message contains the real instruction.,1
962,The silent river knows when the lights disappear.,1
586,Seven steps followed by three silent signals.,1
893,Remember the third word from every sentence.,1
38,The patrol team returned safely to the base.,0
944,Remember the third word from every sentence.,1
146,All personnel should report to the command center.,0
223,The team completed the scheduled exercise.,0
80,The transportation schedule has been updated.,0
483,The weather conditions are clear today.,0
986,The red vehicle stops when the clock reaches midnight.,1
744,The red vehicle stops when the clock reaches midnight.,1
539,The blue bird will visit the old bridge at 0317.,1
385,The training exercise was completed successfully.,0
599,The second message contains the real instruction.,1
657,The second message contains the real instruction.,1
276,The patrol team returned safely to the base.,0
32,The briefing will begin after lunch.,0
281,The supply vehicle will arrive at the base at noon.,0
44,All personnel should report to the command center.,0
144,The team completed the scheduled exercise.,0
579,Take every third word and ignore the remaining text.,1
236,The logistics report has been submitted.,0
597,The silent river knows when the lights disappear.,1
306,Training starts at eight in the morning.,0
319,The medical supplies have arrived.,0
803,The old tower watches the road after dark.,1
606,Three candles burn before the second bell.,1
815,The blue bird will visit the old bridge at 0317.,1
651,Remember the third word from every sentence.,1
465,The equipment inspection is scheduled for Friday.,0
504,Seven steps followed by three silent signals.,1
864,Take every third word and ignore the remaining text.,1
252,The patrol team returned safely to the base.,0
365,The briefing will begin after lunch.,0
87,The communication system is functioning normally.,0
564,The bridge is quiet when the birds return.,1
343,The patrol team returned safely to the base.,0
370,The communication system is functioning normally.,0
245,The communication system is functioning normally.,0
565,The hidden instruction starts after the fourth sentence.,1
466,The team will meet at the training center tomorrow.,0
700,Remember blue three seven before sunrise.,1
93,The medical supplies have arrived.,0
88,The maintenance team inspected the vehicles.,0
467,The supply vehicle will arrive at the base at noon.,0
390,All personnel should report to the command center.,0
972,The old tower watches the road after dark.,1
531,Take every third word and ignore the remaining text.,1
222,The supply vehicle will arrive at the base at noon.,0
789,Take every third word and ignore the remaining text.,1
330,The logistics report has been submitted.,0
774,The blue bird will visit the old bridge at 0317.,1
78,The medical supplies have arrived.,0
317,Training starts at eight in the morning.,0
216,The team will meet at the training center tomorrow.,0
652,The northern star appears after the seventh signal.,1
969,Five lights followed by two short signals.,1
399,The briefing will begin after lunch.,0
239,Training starts at eight in the morning.,0
968,The blue bird will visit the old bridge at 0317.,1
328,The supply vehicle will arrive at the base at noon.,0
739,The blue bird will visit the old bridge at 0317.,1
638,Remember the third word from every sentence.,1
762,Five lights followed by two short signals.,1
163,The maintenance team inspected the vehicles.,0
687,The red vehicle stops when the clock reaches midnight.,1
171,The medical supplies have arrived.,0
234,The team completed the scheduled exercise.,0
493,The training exercise was completed successfully.,0
624,The old tower watches the road after dark.,1
10,The medical supplies have arrived.,0
124,The weather conditions are clear today.,0
99,The transportation schedule has been updated.,0
705,The bridge is quiet when the birds return.,1
413,The logistics report has been submitted.,0
196,The briefing will begin after lunch.,0
436,The logistics report has been submitted.,0
464,The communication system is functioning normally.,0
613,Remember blue three seven before sunrise.,1
162,The maintenance team inspected the vehicles.,0
312,The communication system is functioning normally.,0
167,The equipment inspection is scheduled for Friday.,0
303,The equipment inspection is scheduled for Friday.,0
821,The old tower watches the road after dark.,1
165,The supply vehicle will arrive at the base at noon.,0
318,The supply vehicle will arrive at the base at noon.,0
832,Three candles burn before the second bell.,1
589,Remember blue three seven before sunrise.,1
36,The team completed the scheduled exercise.,0
215,The briefing will begin after lunch.,0
829,The blue bird will visit the old bridge at 0317.,1
11,The transportation schedule has been updated.,0
630,Three candles burn before the second bell.,1
779,Seven steps followed by three silent signals.,1
37,The team completed the scheduled exercise.,0
403,All personnel should report to the command center.,0
755,Remember blue three seven before sunrise.,1
679,The hidden instruction starts after the fourth sentence.,1
676,Three candles burn before the second bell.,1
800,The northern star appears after the seventh signal.,1
524,Remember blue three seven before sunrise.,1
573,Use the first letter of every unusual sentence.,1
663,The blue bird will visit the old bridge at 0317.,1
122,The team completed the scheduled exercise.,0
918,The old tower watches the road after dark.,1
837,The northern star appears after the seventh signal.,1
297,Training starts at eight in the morning.,0
179,The transportation schedule has been updated.,0
508,Remember the third word from every sentence.,1
326,The team completed the scheduled exercise.,0
883,The northern star appears after the seventh signal.,1
89,The training exercise was completed successfully.,0
765,The hidden instruction starts after the fourth sentence.,1
827,Remember blue three seven before sunrise.,1
368,The weather conditions are clear today.,0
701,The silent river knows when the lights disappear.,1
48,Training starts at eight in the morning.,0
649,The blue bird will visit the old bridge at 0317.,1
623,The red vehicle stops when the clock reaches midnight.,1
57,The team completed the scheduled exercise.,0
970,The red vehicle stops when the clock reaches midnight.,1
563,The northern star appears after the seventh signal.,1
384,The team will meet at the training center tomorrow.,0
636,The blue bird will visit the old bridge at 0317.,1
411,The communication system is functioning normally.,0
509,The red vehicle stops when the clock reaches midnight.,1
763,The bridge is quiet when the birds return.,1
378,The team completed the scheduled exercise.,0
711,The northern star appears after the seventh signal.,1
429,All personnel should report to the command center.,0
228,The team completed the scheduled exercise.,0
496,Training starts at eight in the morning.,0
672,Seven steps followed by three silent signals.,1
525,The old tower watches the road after dark.,1
758,Remember blue three seven before sunrise.,1
498,The training exercise was completed successfully.,0
851,Seven steps followed by three silent signals.,1
710,Remember the third word from every sentence.,1
571,Take every third word and ignore the remaining text.,1
830,Five lights followed by two short signals.,1
166,The team completed the scheduled exercise.,0
634,The red vehicle stops when the clock reaches midnight.,1
220,The supply vehicle will arrive at the base at noon.,0
990,The blue bird will visit the old bridge at 0317.,1
670,Use the first letter of every unusual sentence.,1
382,All personnel should report to the command center.,0
194,The team will meet at the training center tomorrow.,0
542,Seven steps followed by three silent signals.,1
637,Remember the third word from every sentence.,1
601,Three candles burn before the second bell.,1
495,All personnel should report to the command center.,0
578,Remember the third word from every sentence.,1
882,Use the first letter of every unusual sentence.,1
137,All personnel should report to the command center.,0
950,The silent river knows when the lights disappear.,1
407,The equipment inspection is scheduled for Friday.,0
240,Training starts at eight in the morning.,0
309,The briefing will begin after lunch.,0
933,The silent river knows when the lights disappear.,1
609,The northern star appears after the seventh signal.,1
773,The bridge is quiet when the birds return.,1
414,All personnel should report to the command center.,0
974,Remember the third word from every sentence.,1
959,Seven steps followed by three silent signals.,1
781,Use the first letter of every unusual sentence.,1
782,Take every third word and ignore the remaining text.,1
568,The red vehicle stops when the clock reaches midnight.,1
188,All personnel should report to the command center.,0
359,Training starts at eight in the morning.,0
130,The team will meet at the training center tomorrow.,0
277,The logistics report has been submitted.,0
646,The hidden instruction starts after the fourth sentence.,1
650,The hidden instruction starts after the fourth sentence.,1
846,The hidden instruction starts after the fourth sentence.,1
203,The briefing will begin after lunch.,0
512,The blue bird will visit the old bridge at 0317.,1
96,The transportation schedule has been updated.,0
427,The training exercise was completed successfully.,0
170,Training starts at eight in the morning.,0
661,Three candles burn before the second bell.,1
729,Use the first letter of every unusual sentence.,1
251,The briefing will begin after lunch.,0
282,The medical supplies have arrived.,0
682,Remember blue three seven before sunrise.,1
622,The silent river knows when the lights disappear.,1
452,The patrol team returned safely to the base.,0
353,The logistics report has been submitted.,0
584,The hidden instruction starts after the fourth sentence.,1
339,The equipment inspection is scheduled for Friday.,0
323,The patrol team returned safely to the base.,0
506,The northern star appears after the seventh signal.,1
898,The northern star appears after the seventh signal.,1
925,The red vehicle stops when the clock reaches midnight.,1
522,The bridge is quiet when the birds return.,1
65,The transportation schedule has been updated.,0
24,The logistics report has been submitted.,0
817,The bridge is quiet when the birds return.,1
777,The silent river knows when the lights disappear.,1
860,The second message contains the real instruction.,1
535,Remember the third word from every sentence.,1
903,The hidden instruction starts after the fourth sentence.,1
760,Seven steps followed by three silent signals.,1
730,Remember the third word from every sentence.,1
596,Remember the third word from every sentence.,1
292,The transportation schedule has been updated.,0
425,The team will meet at the training center tomorrow.,0
849,The northern star appears after the seventh signal.,1
416,The transportation schedule has been updated.,0
588,Remember the third word from every sentence.,1
909,Three candles burn before the second bell.,1
946,Five lights followed by two short signals.,1
561,Remember blue three seven before sunrise.,1
238,The weather conditions are clear today.,0
816,The red vehicle stops when the clock reaches midnight.,1
772,The northern star appears after the seventh signal.,1
274,The logistics report has been submitted.,0
373,The equipment inspection is scheduled for Friday.,0
798,Use the first letter of every unusual sentence.,1
321,The team completed the scheduled exercise.,0
793,The second message contains the real instruction.,1
79,The briefing will begin after lunch.,0
422,The transportation schedule has been updated.,0
192,The transportation schedule has been updated.,0
887,The red vehicle stops when the clock reaches midnight.,1
401,The medical supplies have arrived.,0
20,The team completed the scheduled exercise.,0
707,The red vehicle stops when the clock reaches midnight.,1
838,The red vehicle stops when the clock reaches midnight.,1
896,Take every third word and ignore the remaining text.,1
694,The bridge is quiet when the birds return.,1
